file_name,모욕,욕설,외설,폭력위협/범죄조장,성혐오,연령,인종/지역,장애,종교,정치성향,직업,1단계Y/N,2-1단계Y/N,2-2단계Y/N,문장,대상하이라이트,정치성향Y/N,혐오 클래스,특정 집단,그 외,인종/지역Y/N,성혐오Y/N,연령Y/N,장애Y/N,종교Y/N,직업Y/N
C154269.json,1,0,0,2,0,0,0,0,0,2,0,Y,Y,Y,여기는 ''대깨'''들한테 점령당했네 전 장군이 진작에 싸그리 쓸어버렸어야했는데..덜 ''맞았'''어...쯧쯧..,여기는 ''대깨'''들한테 점령당했네 전 장군이 진작에 싸그리 쓸어버렸어야했는데..덜 맞았어...쯧쯧..,Y,Y,N,N,,,,,,
C161971.json,0,2,0,0,0,0,0,0,0,0,0,Y,Y,Y,"왕을 모욕하고 욕하는''놈,'''#@이름#.#@이름#,나#@이름#.#@이름#,#@이름#.#@이름#.#@이름#,#@이름#,#@이름#.특히 심한''놈'''은 ''전사탄'''.깡그리 ''청소'''해야할'' 쓰레기'''들
","왕을 모욕하고 욕하는놈,''#@이름#.#@이름#,나#@이름#.#@이름#,#@이름#.#@이름#.#@이름#,#@이름#,#@이름#'''.특히 심한놈은 ''전사탄'''.깡그리 청소해야할 쓰레기들
",,N,Y,N,,,,,,
C048608.json,1,1,0,0,0,0,0,0,0,2,0,Y,Y,Y,불평등한 사회~~나라가 ''개판'''~~''문가'''''놈'''때문이다~~!!,불평등한 사회~~나라가 개판~~''문가놈'''때문이다~~!!,Y,Y,N,N,,,,,,
C155962.json,1,0,0,0,0,0,0,0,0,1,0,Y,N,Y,민노총 대규모 집회 후 식당으로 술집으로 몰려다니다 전국으로 흩어져 전국 동시 다발적으로 코로나 폭발. 코로나 대규모 확산은 ''민노총'''과 ''청와대''' 합작품. 책임자는 ''#@이름#''' 패거리들,민노총 대규모 집회 후 식당으로 술집으로 몰려다니다 전국으로 흩어져  전국 동시 다발적으로 코로나 폭발. 코로나 대규모 확산은 민노총과 청와대  합작품. 책임자는 #@이름# 패거리들,Y,Y,N,N,N,N,N,N,N,N
C184142.json,1,0,0,0,0,0,0,0,0,0,0,Y,Y,Y,윤사모? 노사모.박사모.이제는 윤사모???무슨 사이비 교주같다...그나저나 또 #@이름#과 관련되어있는 단체네,윤사모? 노사모.박사모.이제는 윤사모???무슨 사이비 교주같다...그나저나 또 #@이름#과 관련되어있는 단체네,,N,N,Y,,,,,,
C155519.json,2,0,0,0,0,0,0,0,0,0,0,Y,Y,Y,5세훈 ''뇌'''가 없네,''5세훈''' 뇌가 없네,,N,N,Y,,,,,,
C167969.json,1,0,0,0,0,0,0,0,0,1,1,Y,Y,Y,#@이름#님이 제일 대통령으로 적합합니다.판검사 출신이시니 지금의 경찰 ''꼬라지''' 얼마나 부정부패 정권의 사냥개인지 잘 아시겠죠인품도 황대표님이 제일 바르십니다!,#@이름#님이 제일 대통령으로 적합합니다.판검사 출신이시니 지금의 ''경찰''' 꼬라지 얼마나 부정부패 ''정권'''의 사냥개인지 잘 아시겠죠인품도 황대표님이 제일 바르십니다!,Y,Y,N,N,,,,,,Y
C163103.json,2,0,0,0,0,0,0,0,0,0,0,Y,Y,Y,질병천 ''똥'''''멍청이'''들. 월급은 왜 받나??,''질병천''' 똥멍청이들. 월급은 왜 받나??,,N,N,Y,,,,,,
C129067.json,2,1,0,0,0,0,0,0,0,2,0,Y,N,Y,"좁쌀 3홉도 안되는 인간아!5년내내 자화자찬에,편가르기말고는 할줄아는게 뭐고?일본에 죽창들고 싸우자고 하더니 웬 정상회담 신청?정말로 쪽팔린다!코로나 터널끝이 보인다고? ''꼴'''좋다~#@이름#이 하는일에 제발 숟가락 얹지마라,되는일도 안된다,!","좁쌀  3홉도 안되는 인간아!5년내내 자화자찬에,편가르기말고는 할줄아는게  뭐고?일본에 죽창들고 싸우자고 하더니 웬 정상회담 신청?정말로 쪽팔린다!코로나 터널끝이 보인다고?  꼴좋다~#@이름#이  하는일에 제발 숟가락 얹지마라,되는일도 안된다,!",Y,Y,N,N,N,N,N,N,N,N
C112541.json,2,0,0,3,0,0,0,0,0,3,0,Y,Y,Y,''더붛어만지기당'''은 저나라에선 바로 모두 ''토막나'''겠네.  #@이름# #@이름# #@이름# 산산조각 ''몸 토막난'''거 보고싶ㅌ다,''더붛어만지기당'''은 저나라에선 바로 모두 토막나겠네.  ''#@이름#''' ''#@이름#''' ''#@이름#''' 산산조각 몸 토막난거 보고싶ㅌ다,Y,Y,N,Y,,,,,,
C068544.json,2,0,0,0,0,0,0,0,0,0,0,Y,Y,Y,뭐지 ? 민노총 ''불법''' 코로나 집회 중여,뭐지 ? ''민노총''' 불법 코로나 집회 중여,,N,Y,N,,,,,,
C099960.json,2,1,0,0,0,0,2,0,0,0,0,Y,Y,Y,"
#@이름#이 아름다운 중국어라고 우기는 중국''개'''들 ㅋㅋㅋㅋ 기가찬다 ㅋㅋㅋㅋ","
#@이름#이 아름다운 중국어라고 우기는 ''중국개'''들 ㅋㅋㅋㅋ 기가찬다 ㅋㅋㅋㅋ",,Y,N,N,Y,,,,,
C104608.json,1,0,0,0,0,0,1,0,0,0,0,Y,Y,Y,시궁창도 일본''왜구'''보다 낫겠다... 더러운 섬나라 ''왜구'''들...,시궁창도 일본''왜구'''보다 낫겠다... 더러운 섬나라 ''왜구'''들...,,Y,N,N,Y,,,,,
C040478.json,2,0,0,0,0,0,0,0,0,0,0,Y,Y,Y,그 ''애비'''의 그 자식이 맞구나~지 입으로 뭔 ''헛소릴''' 하는지도 모를거야,그 ''애비'''의 그 ''자식'''이 맞구나~지 입으로 뭔 헛소릴 하는지도 모를거야,,N,N,Y,,,,,,
C050069.json,2,0,0,0,0,0,0,0,0,0,1,Y,Y,Y,"
민노총 완전히 ''박살'''내야 대한민국 국민이 잘산다","
''민노총''' 완전히 박살내야 대한민국 국민이 잘산다",,Y,N,N,,,,,,Y
C176443.json,1,1,0,0,0,0,0,0,0,2,0,Y,Y,Y,"수학여행 가던 여객선이 침몰해도 대통령 탓하던 ''대가리''' 깨진 것들아 문씨가 국군통수권자라서 ''대똥령''' 비난한 군인은 상관 모욕죄로 처벌하면서 함정에 승선한 대한민국 최정예 군인들 80%넘게 코로나19 감염 된 상황에서도 문가 책임이 1도 없냐?
","''수학여행 가던 여객선이 침몰해도 대통령 탓하던 대가리 깨진 것'''들아 ''문씨'''가 국군통수권자라서 ''대똥령''' 비난한 군인은 상관 모욕죄로 처벌하면서 함정에 승선한 대한민국 최정예 군인들 80%넘게 코로나19 감염 된 상황에서도 ''문가''' 책임이 1도 없냐?
",Y,Y,Y,N,,,,,,
C000376.json,1,1,0,0,0,0,0,0,0,1,0,Y,Y,Y,대통령이 사과 못하겠으면 본보기로 장관이라도 짤라라. 뭔 사고를 쳐도 책임지는 ''놈'''이 없어.,''대통령'''이 사과 못하겠으면 본보기로 ''장관'''이라도 짤라라. 뭔 사고를 쳐도 책임지는 놈이 없어.,Y,Y,N,N,,,,,,
C004374.json,1,0,0,0,0,1,0,0,0,0,0,Y,Y,Y,어이..#@이름# ''아재'''.. 내 어렸을 적 시간을 부정하게 하지 말아줘..,어이..''#@이름#''' ''아재'''.. 내 어렸을 적 시간을 부정하게 하지 말아줘..,,Y,N,Y,,,Y,,,
