text,label
혹시나 선생님이 걔를 크게 혼내지 않으시면 다시 그 애가 나를 괴롭힐까 두려워.,0
나 드디어 내가 원하는 곳에 합격했어! 정말 꿈만 같아.,1
나는 공부에 흥미도 없고 안 해서 앞으로가 너무 걱정돼.,0
이번에 승진하게 됐어. 예상보다 빨라서 무척 기뻐!,1
팀장님이 나를 좋아하지 않는 것 같아. 나만 빼고 팀원들에게 밥을 사주시더라고.,0
엄마랑 아빠가 소리를 지르면서 싸우시네. 물건이 깨지는 소리도 들리고 너무 무서워.,0
내가 턱걸이를 못 해서 허우적거리고 있으니까 여자 친구가 실망한 것 같더라고.,0
동창 모임에 이혼한 아내가 왔는데 분위기를 망칠까 봐 아무렇지 않은 척했어.,0
내가 내 생각을 말하려고 할 때마다 아빠는 나를 때리셨어.,0
나 어제 남자친구랑 오해가 있었던 거 잘 해결됐어!,1
딸이 올해에도 취업하지 못할까봐 걱정돼.,0
아내가 죽고 나서 고독하고 허탈한 마음이 들어서 힘들어.,0
내가 가진 질환 때문에 돈을 잘 못 벌어 자식들이 고생할까 걱정되고 죄책감이 들어.,0
남편의 퇴직으로 어렵기도 하고 멍하니 혼자 있을 때 보면 왠지 슬퍼질 때도 있어.,0
나는 우리 동네 명순 할머니랑 오랜 친구야. 옆집에 살고 있기도 하지.,1
아들 딸 다 출가 시키고 만성질환이 있어 병원에 다니는 데 내 담당의 선생님이 경력이 많아 보여 신뢰가 가네.,1
나 어제 상담했는데 내가 원하는 대학교 갈 수 있대!,1
조금만 과식을 하면 속이 더부룩해서 먹기가 조심스러워.,0
재택근무하는 게 마음이 편해서 좋아!,1
공부하다 늦잠을 자서 시험 시간에 늦어버렸어. 그때는 진짜 눈물이 나더라.,0
곧 퇴직인데 가족들에게 미안한 생각에 떳떳지 못해서 괴롭네.,0
평소에 나에게 화만 냈던 상사가 오늘 처음으로 업무를 잘했다며 칭찬을 해줬어.,1
우리 중에서 가장 말이 많던 친구가 입원했어. 그래서 그런지 노인정이 너무 조용해서 우울해.,0
어제 부인이랑 밤새도록 싸웠어. 사람이 점점 갈수록 드세지는 거 같아.,0
오래 실무를 한 나와는 생각이 다른 상사의 독단적인 결정에 따라야 했어.,0
얼마 전에 병원에 갔더니 내가 암에 걸렸다는 거야. 그래서 아주 고민이 많아.,0
나는 노인정 사람들을 신뢰해.,1
친구들이 성적이 나보다 더 좋아서 조급했는데 엄마가 조언해주셔서 기뻤어.,1
