Unnamed: 0,연령,성별,상황키워드,전체선톡,감정_대분류,감정_소분류,사람문장1,시스템문장1,사람문장2,시스템문장2,사람문장3,시스템문장3
44928,청소년,남성,가족관계,해당없음,당황,혼란스러운,요즘 주변에서 부모님들과 여행 다녀온 아이들을 보면 너무 부러워.,주변 친구들을 부러워하고 계셨군요.,엄마가 이혼하신 게 다 나 때문인 것만 같아 죄책감이 들어.,죄책감에서 벗어나기 위해 무언가 할 수 있는 것은 있을까요?,엄마에게 편지라도 써봐야겠어.,편지 쓰는 것을 통해 기분이 나아지길 바라요.
25925,노년,여성,재정,만성질환 무,불안,취약한,나와 남편은 귀가 얇아서 사기를 잘 당해서 재정이 취약하고 늘 불안해.,귀가 얇아 사기를 잘 당하는 게 불안하시군요.,귀가 얇은 걸 어떻게 해야 될지 모르겠어.,정말 고민이시겠어요. 어떻게 하면 좋을까요?,밖에 잘 나가지 않고 남편이랑 집에 자주 있어야겠어.,밖에 잘나가지 않고 집에 있을 생각이시군요.
47385,노년,남성,재정,만성질환 무,분노,구역질 나는,오늘도 폐지 주워 오천 원밖에 못 벌었어. 앞으로 어떻게 살지 왜 난 이따위 사람일까.,만족스럽지 못한 소득 문제로 인해 괴로우시군요.,앞으로 어떻게 먹고살아야 할지나 고민하다니 진짜 한심하기 짝이 없지.,지금 기분을 바꾸기 위한 방법으로는 어떤 것이 있을까요?,방법이 없어. 난 계속 이렇게 살다가 가겠지.,지금 상황을 나눌 수 있는 사람이 주변에 있으면 좋겠네요.
8571,청년,여성,대인관계,해당없음,불안,스트레스 받는,우리 언니는 왜 나한테 사사건건 간섭일까? 스트레스다 정말.,그러면 정말 스트레스겠어요.,내 옷 화장 밥 먹기 모든 것에 잔소리를 늘어놓아. 자기가 내 남자 친구야?,그 간섭에서 벗어날 좋은 방법이 있지 않을까요?,따로 나가 살든지 해야지 못 살아 정말.,어떤 결정을 내리시더라도 문제가 잘 해결되었으면 좋겠어요.
3228,청년,여성,"진로,취업,직장",해당없음,불안,회의적인,오늘 이직 면접을 보고 왔는데 괜히 보고 왔나 봐. 면접 간 게 후회돼.,이직 면접에서 후회되는 일이 있으셨어요?,내가 마음에 안 들었는지 면접관 반응이 시원찮더라고. 그럼 떨어지겠지?,면접관 반응이 좋지 않아서 좋은 결과를 기대하지 않으시는군요.,나도 여기 꼭 가고 싶었던 곳은 아니니까 신경 안 쓸래. 다음 이직 면접 준비나 잘해야겠어.,좋은 생각이에요. 다음 면접에서 좋은 결과 있으시길 바랄게요.
49370,중년,여성,"대인관계(부부, 자녀)",해당없음,당황,외로운,내가 자식들을 잘 보지 못했다는 이유로 남편에게 이혼을 당했어.,그런 상황이 생겨서 많이 속상하시겠어요.,앞으로 가족 없이 혼자 남을 생각에 너무나도 두려워. 아이들에게도 미안하고.,부정적인 감정을 변화시키기 위해서 할 수 있는 일이 있을까요?,내 잘못을 인정하고 가족들과 관계를 다시 쌓아가려고 해야겠어.,지금의 다짐을 통해서 상황을 극복하시길 바라요.
31225,노년,여성,재정,만성질환 유,분노,툴툴대는,자식들은 연락도 없고 우리 집에 놀러도 오지 않아.,자식들에게 매우 속상하시겠어요.,남편은 옆에서 날 위해주지만 자식들은 다 자기살기 바빠. 나는 자식도 보고 싶은데.,자식들과 연락은 해 보셨어요?,전화도 잘 안 받아. 남편이랑 가끔 기분전환 삼아 커피 마시러 나가기만 해.,남편과의 외출이 기분전환에 도움이 되길 바라요.
45121,청소년,여성,학교폭력/따돌림,해당없음,분노,좌절한,친구가 오늘 학교폭력을 당하는 것을 봤는데 모른 척하고 왔어. 너무 한심해.,친구를 도와주지 못해서 매우 속상하시군요.,그 친구를 도와줄 용기가 없었어.,이 문제를 해결하려면 어떻게 하면 좋을까요?,가장 친한 친구에게 오늘 겪은 일에 대해서 말해봐야겠어.,친구와 대화를 통해 좋은 해결책이 나왔으면 좋겠어요.
38949,노년,여성,재정,만성질환 무,분노,방어적인,코로나가 우리의 일상을 많이 바꾸어 놓았어.,네. 어떤 경우 이신대요?,지인의 아들이 직장을 잃고 부모님 댁에 얹혀살게 된 모양이야.,지인분이 걱정이 많으시겠네요.,어쩔 수 없긴 하지만 많이 속상해하는 모습이 안타까워.,네. 그러시겠어요.
885,청년,여성,"연애,결혼,출산",해당없음,당황,부끄러운,어리게만 보았던 후배가 내게 고백했는데 당황스러워서 어떻게 해야 할지 모르겠네.,갑작스럽게 고백을 받아 당황스러우신가 봐요.,심지어 내 얼굴을 빤히 보면서 나를 좋아한다고 말하니까 정말 부끄럽더라.,많이 부끄러우셨을 것 같네요. 앞으로 어떻게 하실 건지 생각해 보셨나요?,하루 정도는 생각을 해 봐야 할 것 같아. 내일 저녁에 답을 해 주려고 해.,후회 없는 결정을 내리시길 바라요.
