sentence,label
이것도 하나의 정신병인 듯 아깝다 젊음이,L1_hate
중국짓했네 성격만 급한 젊은 중국인 노인한테 니주가리하빠빠,L1_hate
지역 안나온거 보니 전라도네,L1_hate
영국은 80% 접종을 완료했으니.이해되는데 이제 30% 접종한 여기는 왜 나대는지 누가 설명좀????,L1_hate
일본이 민주국가라고 개가 웃을 일이다. 야만국가면 모를까?,L1_hate
자..!! 국민들은 #@이름#이 지난4년을보면서 뼈저리게 자신의 실책을 질책해야한다.. 어줍잖은 좌편향 정치가 그 위험한 폐해를 똑똑히 보았다. #@이름#. ㅋㅋ 푸하하하 이자가 대통령이 된다면 멕도날도. 햄버거. 구매를 하려면 돈자루를 쥐고 다녀야 합니다 .. 잘 모르겠다 생박되면 베네수엘라 검색하세요,L1_hate
역시 #@이름#건 이놈이건 다 라도들,L1_hate
우리 국민도 이렇게 나누며 살고 싶은데~ 문정부에서는 정부가 세금으로 87.5%를 가져가 버리니 ㅠㅠ,L1_hate
여자의 변신은 무죄. 조심해라 ㅋㅋ,L1_hate
"우리들병원, #@이름# 사위는 언제 수사하냐? 더러운 정권아",L1_hate
진짜 정책 꼬라지보니까 그럼 청년정책도다 남자위주고여자는뭔데 청약은 남녀공평해야지 남녀차별주면안되지,L1_hate
죽창가를 불러댈때는 언제고 이제는 임기말에 부담되니 정상회담에 목을거는구나! 내가 일본이라도 절대로 화해안하겠다! 모지리들 같으니라고 ~~ 못났다 정말~~ 외교의 기본도 모르는 무대뽀 정권 같으니라고!,L1_hate
친일파 젤 많은당이 친일파드립은 좀 아니지않냐ㅋㅋ,L1_hate
매번 설레발.. 처음부터 종식될때까지 힘들어도 버텼음 벌써 끝났겠다.. 정부 뭐 대가리들이 하는 탁상공론의 끝을 보여준다 앞으로 미래가 걱정이다..,L1_hate
일본한테는 가위바위보지면 자존심상한다대화자체안되는나라다 무시하는게답이야 올림픽보이콧해야합니다 니네끼리해라,L1_hate
에휴..정권교체를 할려는건지 그냥 주위에서 가만이만 있어도 도와주는건데 언론 국힘 갈등 조장 할려는거 안보이냐 정권교체해야지!!!!! 제발,L1_hate
"?에휴, 왜 이런 일들만 일어나는지, 패륜아에게 분노가 치밀다가도 돌아가신 부모 생각하니 아주 딱하기도 하고, 두세 가지 감정이 한꺼번에 밀려오네ㅡ 필로폰 투약으로 처벌받은 전력이 있던 A는 지난 3월 침대에 앉아있던 어머니(81)를 등산화를 신은 발로 여러 차례 밟아 살해한 것으로 조사됐고, 아버지(75)도 똑같은 방법으로 살해하려고 했으나 미수에 그쳐ㅡ 수사기관에 따르면, 부모가 3년 전 이미 사망했음에도 바퀴벌레들이 부모의 몸을 차지하고 살아있는 척 행세하고 있다는 망상에 빠져ㅡ 아주 갈데까지 간 심각한 정신분열 병자네.",L1_hate
