sentence,label
"""문과들 어떻게든 쉴드치네 적폐과목 생윤사 ㅋㅋ""",Origin
"""중국인들 다 죽었으면 좋겠다 OOO들 진짜 다 자ㅣ살하길ㅡㅡ살아 숨쉬는게 너무 싫다""",Origin
"""경상도 종자들 때문에 나라체면이 말이아니다.""",Origin
"""지방 동양대보다도 훨씬 시세에 영합하며, 권력에 눈치보는 고려대? 저런것이 명문대냐?""",Origin
"""홍어들 대동단결 삭힌냄새 진동....""",Origin
"""하나님 팔아서 돈벌이 하는 목사들 ...악인이다..""",Origin
"""개돼지들아 니들이 중국 빨아대는 당 찍어대고 애들 오는거 안막는거 뭐니""",Origin
얼마나 더 죽어나가야 음주운전 처벌 제대로할거냐? 돈만 밝히는 똥판들아!,Origin
"""아니 좀 틀렸어!!! 근본은 짱깨지 짱깨한테 신천지신도가 옮아서 이사단이 난거지!!""",Origin
쪽바리 뒤지든 말든 관심없다.,Origin
"""교포는 괜찮다 치고 조선족이랑 외노자부터 못받게 해라""",Origin
"""4억3900여만원???? 소방관이나, 경찰이나 헬조선이네""",Origin
"""짱개보다 못한 넘~~""",Origin
"""제발 전라도 분리독립좀""",Origin
짱개랑사귀냐....존심도없나,Origin
싫다 이여자. 중국 귀화나 생각하시길,Origin
"""진짜 북한 아이피 차단하면 안돼냐 전라도랑""",Origin
전라도가 항상 문제다.,Origin
"""대구대 체육학과 중퇴한애가 공산주의가 뭔지나 알고 떠드는걸까? 역시나 그들의 고향 대구""",Origin
"""누가 미쳤다고 이딴나라에서 애를 낳아?""",Origin
"""전라도자식 니보다 백번 낫다.""",Origin
"""중국 분열 시켜야 함""",Origin
싸이도했고 이승철도했고 김태원도했고 전인권도했고 ㅋㅋ 한쿡인들 냄비근성 욕하다 시간지나면 까먹는다 ㅋ 괜찮다ㅋㅋ,Origin
"""전라도는 북한으로 떼어주자""",Origin
듣보잡대 특혜 받은게 무슨 대단한거라고,Origin
"""지금 헬조선인건 스스로 인정했네 ㅋㅋㅋ""",Origin
연예계 진짜 더럽고 추하다.,Origin
"""우리 정부 잘하고 있습니다. 국민들과 함께 갑시다. 쪽빠리 청산!!""",Origin
"""역시 쪽바리 후손들 답게 잊을만 하면 망언 내뱉는구만""",Origin
연예계가 드럽다는 얘기를 10대부터 들었었는데 40대 커서 연예계를 보니 시궁창,Origin
"""한국인들 개 키울 줄 모름""",Origin
"""우한 폐렴으로 중국 꼭 멸망하길 바란다""",Origin
에리카 졸라 순수하고 착한척 하더니...일본 쪽발들은 참...진짜 뻔뻔함.,Origin
"""라도 홍어 버릇 어디 개주냐??""",Origin
"""대가리 피도 안마른 게 니눈깔에는 남조선이 우습게 보이지?""",Origin
"""ㅋㅋㅋ짱깨가 짱깨했는데뭘""",Origin
"""소동 ㅋㅋㅋ 용기도 배짱도 없는 전형적인 토착왜구 쪽바리""",Origin
"""지들 속국으로 만드려하네.짱께들이 북한이 설설기니 남한도 그리만들려고하네.""",Origin
"""역시 짱개는 불태워 죽여야되""",Origin
"""경북 흉노 왜구 잡종들 참 대책없는 족속들...""",Origin
"""중국 제발...통째로 날라가버려라 졔발좀""",Origin
"""전라도는 언제 뒷통수 칠지 몰라 고향이 라도맞죠""",Origin
"즐겁고 감동적인 얘기도 천지인데 불만투성이들 이야기, 이간질, 지적질, 분쟁, 증오, 분열 에 관한 방송이 많을까....조선족 속성이가?",Origin
"""이놈 전세계 사람들 생명을 걸고 짱개돈 먹은 거 아닌지... 철저히 조사해야 함다.""",Origin
"""하여튼 조센징 유사국가 수준ㅋㅋ""",Origin
나오지 말지. 쓰레기같은 예능세계에 물들으면 인생 망침,Origin
"""짱깨가. 우릴 욕하네. 허허.""",Origin
"""짱깨 수장 시진핑 모셔오려고 입국금지 안 때린서잖아ㅎㅎ""",Origin
랩퍼들은 티비에 안나왔으면.. 청소년들 보기에도 안좋고,Origin
"""트로트 가수는 개념이 없음 지겨운 면상들 겹치기 출연 질린다 .. 역시 나훈아가 최고야""",Origin
"""민도수준이 짱괴랑 똑같음. 의식수준이 너무 후짐.""",Origin
"""더럽고 교활한짱깨탓은 못하지.수많은 인구보고 욕심냈다가 뒤통수 맞은거다.""",Origin
팩트구만 무슨 망언?? 조선놈들은 지들 기분나쁘면 망언이냐?,Origin
"""금수저가 장관되야지 흙수저는 물러나라!""",Origin
이 왕따문화는 인터넷에서도 통하는구나....우리나라 수준이다... 왕진진 사건으로 나는 출소한 범죄자 인권에 대해 다시 생각하게 되었다. 이 정도로 현실에서 외면 받는구나..,Origin
"""쪽발ㄹ이 기업은 망해야한다""",Origin
"""또람프를 믿냐? 짱게이=또람프""",Origin
"""우덜랜드에 짱깨들이랑 같이 처넣고 감금해라""",Origin
