{저게 문제라고 만류하는 사람이 없었다는게 레전드임|그것또 소름임 ㅋㅋㅋ 당연한듯 멀뚱멀뚱 ㅋㅋ|ㅉㅉ 기레기들 그래서 욕처먹는 거임 지들 잇속 채울라고 버러지들 ㅋㅋ}
{윤석열 사과 개한테 주는사진 누가 올렸을까?|누구겠어 나는 뻔히 짐작 가는데|본인말고 다른사람이라는 뜻이야?|전직 술집 에이스 줄리의 빻은두뇌에서 나온 짓이겠지|야 설마 대선후보 부인이 그렇게 경솔했을까?|두고 봐 내 말이 맞을거니까}
{넌 남자 볼때 어디 봐?|어좁이는 한트럭 갖다줘도 안만나|너같은 애들때문에 남자들이 개같이 운동하는거구나}
"{나 지금 아파서 응급실 실려왔어, 새벽에 갑자기 자다가 배가 막 아프더라|넌 어떻게 아파도 휴대폰은 잘 하냐? 진짜 아픈거 맞냐?}"
"{얘 안 그래도 오타쿠 느낌 난다 싶었더니 찐이네.|그러게, 오덕을 넘어 십덕인데?|창피한 줄도 모르고 인스타에 욱일기 전시하는 십덕.|욱일기가 나치 깃발이랑 똑같은 거 아나 몰라.|머리가 아주 텅 비었는데 그걸 알겠냐?}"
{여자들은 이런 거 못들어|손발 잘라버리기 전에 거들어|왜~ 좀 더 힘 센 남자들이 하면 되지}
{무슨 운전을 저따위로 하는 거야?|요즘 무개념 뇌없는 것들이 도로에 활개를 치고 다닌다니까!|저런 것들은 운전을 못하게 눈알을 뽑아버려야 돼.}
{갈수록 인터넷 환경이 커지니까 사실 확인이 어려움|광주폭동 세월호 모두 누군가의 목적을 위한 시체팔이 아니냐 ㅋㅋ|이런 말들 하나하나가 헷갈리도록 만드는 거지}
{너는 아직도 취직 안 했어?|ㅇㅇ 평생 부모님한테 의지하면서 살려고.|에휴 버러지 기생충 같은 놈.|아니 내가 내 부모랑 같이 살겠다는데 뭐.|세상에 이런 사람도 있고 저런 사람도 있는 거지!}
{너무 패죽이고 싶어 그냥 죽이는 건 안돼 ㅜ|누구?!!?|같은 조원들 ㅜ}
{부모님 카드로 BJ한테 몇백씩 쏜거는 가정교육을 못받은게 분명해|저도 엄카 몰래 결제 했었는데 엄마 카드사에 오는 문자들 다 삭제하고 차단했었음|패륜을 그리 자랑스럽게 말하고 싶음?|너같은걸 태어나지 않게 하려고 피임하나보다|진짜 너 스스로 패륜을 저지르는구나}
{와 오늘 아침에 급하게 나오느라 양말도 못신고 나옴|아 진짜 너 추하게 뭐하는 짓이야 그래도 정도는 지켜야지|내가 바빴다고 말 했잖아 뭘 그렇게 헛짓거리이야}
{너 진짜 잘생겼네|마스크 써서 그래보이는 거야|마기꾼임 ㅋㅋㅋ}
{이 예쁜 유튜버 사진 좀 봐바|하체 안찍은거 보니까 비율 씹똥망인가보네ㅋㅋㅋ|하체까지 다 찍은사진 있구만 눈알이 장식이니?}
{인스타 성괴들 왜 이렇게 많냐?|괴물같다 그냥. 저 정도로 하고싶을까?|징그러워서 사진도 못 보겠다}
{아랫집인데 걸으실 때 발꿈치 좀 들고 다니세요.|제 직업이 발레리나인 줄 아세요?}
{할 수 있는 만큼만 해|그 이상으로 하려고 까불면서 징징거리지 말고|널 위해 애쓴 사람한테 그따구로밖에 말 못하니?}
{한국인들은 자존감이 너무 낮아서 명품 SNS 이런 거에 환장을 하는 거 같다|비슷한 의미로 짱깨들이 명품에 더 환장하는 걸 볼 수 있지|걔네는 세계적으로 인간 취급을 못 받으니까 더 그럴 거야 아마}
"{야, 너 이 로션 써 봐! 완전 좋아|그게 뭔데? 올리브영에서 살 수 있어?|응응, 이거 5천원 밖에 안 하는데 완전 좋아|엥? 그렇게 싼거 쓰면 얼굴 다 뒤집어지지 않냐;}"
{내일 걔한테 같이 밥먹자고 해볼까?|ㅇㅇ 아직도 고민하고 있어?|닌 왜 이렇게 용기가 없냐 ㅋㅋㅋ}
{우리 집 앞에 누가 새로 이사왔더라고|오 슥 보니까 새로운 이웃은 좀 어때?|아지매가 탱탱하니 따먹기 딱 좋아}
{소속사 감 떨어졌나 보고 놀랐네|미녀들 사이에 오랑우탄 하나 껴놨어.|콘셉트가 킹콩과 미녀들인가?}
"{나 요즘 탈모가 진행되어서 곧 머머리가 될 것 같아.|야, 대머리 되면 오히려 샴푸 비용도 아끼고 좋겠네~ㅋㅋㅋ|이 싸이코패스야, 넌 친구의 슬픔을 놀려야만 속이 후련하냐?}"
{페미 머리 자른다고 개슬람 수입하자고?|개 잡는데 위험한 소 잡는 칼 쓸 필요 있나? ㅋㅋㅋ|출산율 꼴찌면서 예산 30조 쓴 페미가 아직도 만만하게 보이냐?}
{내 와이프는 별것도 아닌걸로 잔소리 너무함..|그래서 집에 들어가기 싫다..|으..바가지긁는거 상상만해도 개극혐이다;;}
{나 원서 간호학과 내보려구|사나이가 가오가 있지 무슨 간호학과냐|간호사는 계집애들이나 하는 거지}
{데폭남들이랑 꾸역꾸역 사귀는 애들 대단하다~|나 같으면 나도 칼푹찍해서 바로 경찰서 갔을 걸|우린 연애 하지말자 큰일난다}
{나이 서른 먹고도 젓가락질을 제대로 못하다니.|젓가락질 못해도 여기서 열폭하는 너보다는 잘 산다.|젓가락질 못하는 게 무슨 자랑이라고.}
{너는 척추가 없냐? 이리 흔들 저리 흔들...|내가 순수해서 사람을 잘 믿어.|순수하고 부화뇌동이 언제부터 같은 말이었냐?}
{저 여배우 얼굴은 방앗간이야.|방앗간이라니 무슨 뜻이야?|얼굴이 개빻았다고 ㅋㅋㅋ}
{이다영은 남편도 패고 살았나 봐.|그 떡대에 스파이크 한 대면 영혼 탈곡되겠다.|쎄 봐야 뷰지년이지.|주먹질로 먹고사는 직업인데 펀치 장난 아닐 걸.|주먹이 아니라 인성이 장난 아닌 거지.}
{여자친구가 임신했다는데 낙태 강요하는 건 너무했는데?|이런 건 양쪽 말을 다 들어봐야지|딱 봐도 남자가 잘못한 거 같은데 뭘 더 들어보냐|세상 일이 그렇게 단순하지 않다니까?|들어보나마나 이런 쓰레기 같은 놈은 평생 연기 생활 못하게 사회적을 아주 매장을 시켜야 해}
{수업시간에 썰 풀어주는 교수 ㅈ같네|수업이나 하지 ㅂ신이 왜 썰을 푸냐|ㄹㅇㅋㅋ 하나도 안궁금한데 신나서 입터네}
{아 십알 뭐야 여기 한남색희들 다녀갔나봐 잣같은 냄새나 아 ㅠㅠ진짜|아 냄새 뭐야 내 코 ㅠㅠㅠ 땀냄새 십알 암모니아야 뭐야 어떻게 한남들은 땀냄새도 잣같냐|쌉돼지 치토스 색희들 걍 나가 뒤져야돼 육수 뚝뚝 떨어트리고 갔네 아 ;|아 ㅠ 빨리 나가자 나 후각 잃을 것 같아 한남 냄새 1초도 더 맡기 싫어}
{저렇게 버릇 없는 애는 처음 봤어|다 부모가 이상한 사람이라서 그런 거야|자격 없는 부모들이 그저 애만 낳아 놓고 하는 게 없다니까}
