sentence,label
이제 취업하고 나니까 마음이 너무 편안한 거 있지.,기쁨
결혼식에 내가 좋아하는 가수가 축가를 불러주기로 했어! 너무 기뻐.,기쁨
오늘 완치판정을 받았어!,기쁨
아이들 학비 때문에 노후대비가 미진해서 걱정 많았는데. 생각지도 못했던 일이 벌어졌지 뭐야.,기쁨
예전에 다니던 회사가 문을 닫았대. 자칫 내가 큰일날 뻔했는데 다행이야.,기쁨
오늘 우리 형이 좋은 대학에 붙었어. 너무 기뻐.,기쁨
드디어 나 취직했어!,기쁨
은퇴를 하고 삶이 삭막할 것만 같았어. 근데 매일매일 너무 즐거운 일만 가득해서 기분이 좋아.,기쁨
문화센터에서 배우고 싶은 걸 배우고 사람들과 교류도 하니 기쁘다.,기쁨
요즘 취업난이 심각한데 난 대학원에 진학하기로 마음먹어서 마음이 편안해.,기쁨
내가 운영하는 회사에 문제가 생기더라도 얼마든지 주변에 도와줄 사람이 많아.,기쁨
나 드디어 몇 년 동안 못 만났던 어릴 적 친구를 만나게 되었어.,기쁨
다섯 달 후 결혼식에 운동을 해서 웨딩드레스를 이쁘게 입을 거야.,기쁨
돈도 많이 벌어 놨겠다 이제 사고 싶은 거 다 사면서 노후를 만끽할 거야.,기쁨
회사에서 뜻대로 일도 풀리지 않지만 그래도 가끔은 웃을 수 있는 일이 있으면 좋겠어.,기쁨
내가 아프니까 딸이 바로 달려와서 간호해줘서 너무 기뻐.,기쁨
남편한테 정말 고마워.,기쁨
난 진로를 정해놔서 마음이 편안해.,기쁨
나 건강검진 결과 통보를 받았는데. 모두 정상이라고 해서 마음이 편해.,기쁨
동호회 모임 인기투표에서 남자 일등으로 내가 뽑혔어. 완전 기분 좋은데.,기쁨
유학을 갔다 온 딸이 대기업에 취업을 해서 기뻐.,기쁨
우울증이 있었는데 언니가 말해 준 대로 정신과에 다니면서 약을 먹어서 많이 좋아졌어.,기쁨
난 정말 결혼을 해야 할지 말아야 할지 잘 모르겠어.,기쁨
고등학교에 들어와서 엄마가 새로운 가방을 사주셨어. 가지고 싶었는데 가질 수 있어서 매우 기뻐.,기쁨
우리 가족은 너무 사랑스러운 것 같아.,기쁨
엄마가 학교에 찾아와서 내가 당한 폭행에 대해 선생님과 상담하고 학폭위를 열어서 해결할 수 있도록 힘써 주셨어.,기쁨
진짜 내가 이 문제만큼은 전교에서 제일 쉽게 풀 수 있다고 자부한다!,기쁨
이제 한 달 후면 나도 아버지가 될 수 있다는 생각에 너무 기분이 좋아.,기쁨
